,link,date,judge,decision
43,https://www.nycourts.gov/reporter/motions/2024/2024_97043.htm,2024-01-26,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
44,https://www.nycourts.gov/reporter/motions/2024/2024_97044.htm,2024-01-26,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
45,https://www.nycourts.gov/reporter/motions/2024/2024_97045.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
46,https://www.nycourts.gov/reporter/motions/2024/2024_97046.htm,2024-01-26,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
47,https://www.nycourts.gov/reporter/motions/2024/2024_97047.htm,2024-01-26,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal dismissed
48,https://www.nycourts.gov/reporter/motions/2024/2024_97048.htm,2024-01-24,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
49,https://www.nycourts.gov/reporter/motions/2024/2024_97049.htm,2024-01-26,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
50,https://www.nycourts.gov/reporter/motions/2024/2024_97050.htm,2024-01-26,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
51,https://www.nycourts.gov/reporter/motions/2024/2024_97051.htm,2024-01-24,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
52,https://www.nycourts.gov/reporter/motions/2024/2024_97052.htm,2024-01-29,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied reconsideration
53,https://www.nycourts.gov/reporter/motions/2024/2024_97053.htm,2024-01-30,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
54,https://www.nycourts.gov/reporter/motions/2024/2024_97054.htm,2024-01-30,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
55,https://www.nycourts.gov/reporter/motions/2024/2024_97055.htm,2024-01-18,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
56,https://www.nycourts.gov/reporter/motions/2024/2024_97056.htm,2024-01-31,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
57,https://www.nycourts.gov/reporter/motions/2024/2024_97057.htm,2024-01-18,"Wilson, Ch. J.",Disposition: Applications for Criminal Leave to appeal denied
